id,name,docks,latitude,longitude,address
3872,Hancock St & Wyckoff Ave,19,40.6972,-73.90674,Hancock St & Wyckoff Ave
3873,Madison St & Cypress Ave,17,40.70068,-73.90742,Madison St & Cypress Ave
3874,Menahan St & Seneca Ave,16,40.70461,-73.91054,Menahan St & Seneca Ave
3875,Stephen St & Seneca Ave,15,40.6988,-73.9007,Stephen St & Seneca Ave
3876,Forest Ave & Summerfield St,23,40.69922,-73.89795,Forest Ave & Summerfield St
3877,Madison St & Forest Ave,25,40.70555,-73.90245,Madison St & Forest Ave
3878,Cypress Ave & George St,19,40.69812,-73.90271,Cypress Ave & George St
3879,Broadway & Madison St,25,40.68822,-73.91966,Broadway & Madison St
3880,Willoughby Ave & Onderdonk Ave,27,40.7098,-73.91727,Willoughby Ave & Onderdonk Ave
3881,12 Ave & W 125 St,39,40.818299,-73.960405,12 Ave & W 125 St
3882,Norman St & Wyckoff Ave,15,40.69517,-73.90311,Norman St & Wyckoff Ave
3883,Harman St & Seneca Ave,19,40.70577,-73.91292,Harman St & Seneca Ave
3885,Onderdonk Ave & Gates Ave,19,40.70413,-73.90737,Onderdonk Ave & Gates Ave
3886,Menahan St & Onderdonk Ave,20,40.70553,-73.9096,Menahan St & Onderdonk Ave
3887,Flushing Ave & Woodward Ave,21,40.71246,-73.91873,Flushing Ave & Woodward Ave
3888,Woodward Ave & Harman St,19,40.70793,-73.91092,Woodward Ave & Harman St
3890,Grove St & Broadway,31,40.69047,-73.923511,Grove St & Broadway
3891,Irving Ave & Palmetto St,20,40.698,-73.9127,Irving Ave & Palmetto St
3892,38 Ave & 29 St,19,40.75473,-73.93367,38 Ave & 29 St
3893,Rockaway Ave & Bainbridge St,25,40.68319988172761,-73.91166642308235,Rockaway Ave & Bainbridge St
3895,Cypress Ave & Palmetto St,25,40.701573408737914,-73.90876293182373,Cypress Ave & Palmetto St
3896,Madison St & Seneca Ave,22,40.70183,-73.90625,Madison St & Seneca Ave
3898,E 63 St & 3 Ave,57,40.763954,-73.9646,E 63 St & 3 Ave
3899,Manhattan Av & Leonard St,18,40.72084,-73.94844,Manhattan Av & Leonard St
3900,Morgan Ave & Lombardy St,30,40.72226,-73.93889,Morgan Ave & Lombardy St
3901,Stanhope St & Fairview Ave,17,40.70998,-73.91116,Stanhope St & Fairview Ave
3903,Jefferson Ave & Evergreen Ave,17,40.68989,-73.91458,Jefferson Ave & Evergreen Ave
3907,Central Ave & Melrose St,17,40.70112,-73.93039,Central Ave & Melrose St
3908,Battery Pl & Greenwich St,33,40.70463,-74.01507,Battery Pl & Greenwich St
